Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
lda,0.5423611111111111,0.8708499074710012,0.537109375,0.5363214260028022,0.5358400291988363,0.4749561799543208,0.4751562501939155,0.2
lr,0.5270833333333333,0.8657294379340277,0.5182291666666667,0.5282791599164052,0.520880602213224,0.45635976583288973,0.45672444071534046,0.61
ridge,0.5361111111111111,,0.5130208333333333,0.5441154919974913,0.5085540370603833,0.465457455321419,0.4669738020141454,0.03
catboost,0.5076388888888889,0.8573570391197345,0.4947916666666667,0.5003711686184977,0.49486483970888867,0.4338568006388074,0.43426425610162883,189.38
svm,0.5006944444444444,,0.48828125,0.49847655024480964,0.48845404403914033,0.4259022676461195,0.4269083311113943,2.0
xgboost,0.4930555555555556,0.8519756610576923,0.4798177083333333,0.49096112914761564,0.482005343720337,0.41693290734824284,0.4173908811566948,31.19
lightgbm,0.48680555555555555,0.8466541257678952,0.47265625,0.47927188771116036,0.4715383604596858,0.4098072622723884,0.4106404131146831,28.12
et,0.4736111111111111,0.8403988420162736,0.451171875,0.4555809235725376,0.43890430754125287,0.3935676569417036,0.3958900964519047,5.24
rf,0.46597222222222223,0.8397737719637134,0.4420572916666667,0.4316232544370462,0.431271563502786,0.3851934761752478,0.38638101134898306,10.11
nb,0.4013888888888889,0.772135230356666,0.404296875,0.4009833427204887,0.3844307036094519,0.3171375759176128,0.3213839943308004,0.04
knn,0.40069444444444446,0.7399403032947955,0.3880208333333333,0.3894024880165098,0.38317037120485,0.3112529928172386,0.3126389579767599,0.55
ada,0.3375,0.6874455229557768,0.33854166666666663,0.3273664700289504,0.32535754960531177,0.24060708978985368,0.24271746612452755,7.17
dt,0.3159722222222222,0.6048856742216118,0.30794270833333337,0.3153357356635992,0.31043261590158494,0.2143464851643091,0.214568641138833,1.04
qda,0.2861111111111111,0.6631472334902511,0.26822916666666663,0.2753218051244515,0.2554933793374391,0.17628205128205132,0.18038945384992555,0.29
dummy,0.12708333333333333,0.5001788576007326,0.12565104166666666,0.12690497222316355,0.1260045020661532,-0.0021259633271324407,-0.002127632028120374,0.02
